
Note: None of this information is accurate, it's all 
mimicked from the example file in the documentation
for the ISCAN ETL-200. It's in the ASCII format as
one would expect when using something like the 
ISCAN model RK-716 as used here: 
https://doi.org/10.1152/jn.00290.2023

RUN INFORMATION TABLE

Run # Date Start Time Samples Samps/Sec Run Secs Image
File Description
1 2011/06/30 14:09:24   1022      120     8.52
default.igr New Data Run

DATA SUMMARY TABLE

                   Raw     Raw
Run #   Param      Mean    StdDev
    1 
        Pupil H1  302.49   62.1576
        Pupil V1  146.49   9.6055
        Pupil D1  87.63    1.5796
        P-CR H1  -26.11    26.2626
        P-CR V1  -25.11    4.3004

DATA INFO (randomly generated within a threshold)

Run 1:      Pupil H1 Pupil V1 Pupil D1 P-CR H1 P-CR V1
Sample       (Raw)     (Raw)    (Raw)   (Raw)    (Raw)
  1         242.8    136.89    87.13    -1.9    -28.13
  2         244.72    138.39    87.44    -2.16    -28.18
  3         243.63    136.76    87.62    -2.41    -28.38
  4         241.34    137.23    88.67    -1.58    -28.4
  5         240.79    139.95    88.8    -2.8    -28.03
  6         242.17    136.83    89.02    -1.56    -28.47
  7         244.18    139.01    88.63    -2.33    -28.36
  8         244.96    138.27    89.14    -1.72    -28.28
  9         240.58    139.48    87.96    -2.61    -28.33
  10         243.29    135.9    89.79    -2.55    -28.14
  11         242.21    135.55    88.61    -1.64    -28.45
  12         244.11    135.2    87.38    -2.76    -28.05
  13         241.75    139.62    87.67    -1.65    -28.12
  14         244.8    138.1    89.41    -2.26    -28.1
  15         241.42    139.64    89.92    -1.75    -28.31
  16         241.07    139.53    88.47    -1.51    -28.21
  17         243.72    135.06    88.93    -2.78    -28.44
  18         240.13    138.16    89.23    -2.81    -28.24
  19         240.87    137.13    87.29    -2.1    -28.27
  20         244.02    137.66    87.34    -2.55    -28.49
  21         240.56    137.02    88.64    -2.89    -28.5
  22         242.48    135.91    89.42    -2.38    -28.27
  23         244.53    137.06    89.07    -2.89    -28.0
  24         244.29    135.31    89.96    -1.52    -28.31
  25         243.74    136.39    89.79    -1.77    -28.23
  26         244.44    135.84    89.83    -2.54    -28.43
  27         244.06    135.4    89.15    -2.68    -28.4
  28         240.74    139.42    88.98    -1.58    -28.43
  29         242.08    136.37    87.24    -2.66    -28.15
  30         241.34    135.42    89.27    -1.96    -28.47
  31         243.6    136.0    88.09    -2.93    -28.3
  32         243.3    139.47    88.25    -1.7    -28.18
  33         241.52    136.43    88.61    -2.21    -28.47
  34         242.08    139.88    87.78    -2.86    -28.04
  35         243.29    136.52    87.9    -2.49    -28.29
  36         241.98    138.14    89.04    -2.25    -28.22
  37         241.42    137.35    89.64    -2.86    -28.5
  38         243.65    137.62    87.87    -2.17    -28.2
  39         241.08    135.69    89.22    -2.39    -28.37
  40         243.33    139.76    88.43    -2.66    -28.23
  41         243.54    139.67    87.04    -2.73    -28.04
  42         242.3    136.43    89.33    -2.84    -28.34
  43         244.15    136.61    89.99    -2.07    -28.4
  44         242.16    138.09    87.61    -1.7    -28.04
  45         242.33    139.35    88.84    -2.9    -28.19
  46         244.03    137.04    87.22    -2.52    -28.13
  47         240.51    136.89    87.14    -2.71    -28.46
  48         241.71    139.38    89.63    -2.87    -28.25
  49         242.68    139.7    87.99    -2.33    -28.41
  50         240.79    135.35    87.0    -2.33    -28.18
  51         241.2    139.2    89.6    -2.99    -28.32
  52         240.09    139.56    89.7    -2.87    -28.05
  53         241.17    139.1    87.59    -2.41    -28.2
  54         240.35    136.2    87.91    -2.17    -28.14
  55         244.86    136.25    88.48    -2.45    -28.18
  56         240.01    136.21    87.17    -1.66    -28.43
  57         240.02    137.26    89.1    -1.52    -28.47
  58         240.75    138.67    89.3    -2.2    -28.06
  59         243.66    139.24    89.06    -1.75    -28.04
  60         240.47    138.12    89.02    -1.8    -28.42
  61         244.17    138.73    89.97    -2.26    -28.01
  62         243.61    135.79    88.89    -2.75    -28.21
  63         244.1    135.68    89.09    -1.53    -28.22
  64         243.48    139.96    88.53    -2.58    -28.04
  65         240.21    137.56    87.29    -1.98    -28.06
  66         244.22    137.21    89.19    -1.68    -28.01
  67         241.28    136.35    87.57    -1.63    -28.0
  68         244.64    136.21    88.26    -1.76    -28.19
  69         242.63    138.98    89.49    -1.85    -28.21
  70         240.65    138.78    87.92    -1.73    -28.24
  71         244.65    135.33    89.21    -2.44    -28.31
